NSW Skills List,
Skilled Nominated visa (subclass 190),
,
"The Skilled Nominated visa (subclass 190) is a points-tested permanent visa for highly skilled individuals who can contribute to the NSW economy. To be eligible for NSW nomination, your occupation must fall within an ANZSCO unit group identified below, which reflects skills in high demand across the state, and be eligible for the visa.",
ANZSCO Code,Unit Group Name
1325,Research and Development Managers
1331,Construction Managers
1332,Engineering Managers
1334,Manufacturers
1335,Production Managers
1341,Child Care Centre Managers
1342,Health and Welfare Services Managers
1343,School Principals
1351,ICT Managers
2245,Land Economists and Valuers
2321,Architects and Landscape Architects
2322,Surveyors and Spatial Scientists
2326,Urban and Regional Planners
2331,Chemical and Materials Engineers
2332,Civil Engineering Professionals
2333,Electrical Engineers
2334,Electronics Engineers
2335,"Industrial, Mechanical and Production Engineers"
2336,Mining Engineers
2339,Other Engineering Professionals
2341,Agricultural and Forestry Scientists
2342,"Chemists, and Food and Wine Scientists"
2343,Environmental Scientists
2344,"Geologists, Geophysicists and Hydrogeologists"
2347,Veterinarians
2411,Early Childhood (Pre-primary School) Teachers
2412,Primary School Teachers
2414,Secondary School Teachers
2421,University Lecturers and Tutors
2512,Medical Imaging Professionals
2513,Occupational and Environmental Health Professionals
2515,Pharmacists
2521,Chiropractors and Osteopaths
2524,Occupational Therapists
2525,Physiotherapist
2527,Audiologist and Speech Pathologists/Therapist
2531,Generalist Medical Practitioners
2533,Specialist Physicians
2534,Psychiatrists
2535,Surgeons
2539,Other Medical Practitioners
2541,Midwives
2543,Nurse Managers
2544,Registered Nurses
2611,ICT Business and Systems Analysts
2613,Software and Applications Programmers
2621,"Database and Systems Administrators, and ICT Security Specialists"
2631,Computer Network Professionals
2723,Psychologists
2725,Social Workers
3112,Medical Technicians
3121,"Architectural, Building and Surveying Technicians"
3122,Civil Engineering Draftspersons and Technicians
3123,Electrical Engineering Draftspersons and Technicians
3125,Mechanical Engineering Draftspersons and Technicians
3129,Other Building and Engineering Technicians
3211,Automotive Electricians
3212,Motor Mechanics
3222,Sheetmetal Trades Workers
3223,Structural Steel and Welding Trades Workers
3231,Aircraft Maintenance Engineers
3232,Metal Fitters and Machinists
3234,Toolmakers and Engineering Patternmakers
3311,Bricklayers and Stonemasons
3312,Carpenters and Joiners
3322,Painting Trades Workers
3331,Glaziers
3332,Plasterers
3333,Roof Tilers
3334,Wall and Floor Tilers
3341,Plumbers
3411,Electricians
3421,Airconditioning and Refrigeration Mechanics
3422,Electrical Distribution Trades Workers
3423,Electronics Trades Workers
3424,Telecommunications Trades Workers
3613,Veterinary Nurses
3941,Cabinetmakers
4117,Welfare Support Workers
NSW Regional Skills List,
Skilled Work Regional visa (subclass 491),
,
"The Skilled Work Regional visa (subclass 491) is a points-tested provisional visa for highly skilled individuals who can contribute to the NSW economy. To be eligible for NSW nomination under pathways 2 and 3, your occupation must fall within an ANZSCO unit group identified below, which reflects skills in high demand across the state, and be eligible for the visa.",
ANZSCO Code,Unit Group Name
1212,Crop Farmer
1214,Mixed Crop and Livestock Farmers
1324,Policy and Planning Managers
1325,Research and Development Managers
1331,Construction Managers
1332,Engineering Managers
1334,Manufacturers
1335,Production Managers
1341,Child Care Centre Managers
1342,Health and Welfare Services Managers
1351,ICT Managers
2245,Land Economists and Valuers
2312,Marine Transport Professionals
2321,Architects and Landscape Architects
2322,Surveyors and Spatial Scientists
2326,Urban and Regional Planners
2331,Chemical and Materials Engineers
2332,Civil Engineering Professionals
2333,Electrical Engineers
2335,"Industrial, Mechanical and Production Engineers"
2336,Mining Engineers
2339,Other Engineering Professionals
2342,"Chemists, and Food and Wine Scientists"
2343,Environmental Scientists
2344,"Geologists, Geophysicists and Hydrogeologists"
2347,Veterinarians
2411,Early Childhood (Pre-primary School) Teachers
2412,Primary School Teachers
2414,Secondary School Teachers
2421,University Lecturers and Tutors
2512,Medical Imaging Professionals
2513,Occupational and Environmental Health Professionals
2515,Pharmacists
2523,Dental Practitioners
2524,Occupational Therapists
2525,Physiotherapists
2527,Audiologists and Speech Pathologists / Therapists
2531,Generalist Medical Practitioners
2533,Specialist Physicians
2539,Other Medical Practitioners
2544,Registered Nurses
2611,ICT Business and Systems Analysts
2613,Software and Applications Programmers
2621,"Database and Systems Administrators, and ICT Security Specialists"
2631,Computer Network Professionals
2723,Psychologists
2725,Social Workers
3111,Agricultural Technicians
3112,Medical Technicians
3121,"Architectural, Building and Surveying Technicians"
3122,Civil Engineering Draftspersons and Technicians
3123,Electrical Engineering Draftspersons and Technicians
3125,Mechanical Engineering Draftspersons and Technicians
3129,Other Building and Engineering Technicians
3211,Automotive Electricians
3212,Motor Mechanics
3222,Sheetmetal Trades Workers
3223,Structural Steel and Welding Trades Workers
3231,Aircraft Maintenance Engineers
3232,Metal Fitters and Machinists
3311,Bricklayers and Stonemasons
3312,Carpenters and Joiners
3322,Painting Trades Workers
3331,Glaziers
3332,Plasterers
3333,Roof Tilers
3334,Wall and Floor Tilers
3341,Plumbers
3411,Electricians
3421,Airconditioning and Refrigeration Mechanics
3422,Electrical Distribution Trades Workers
3423,Electronics Trades Workers
3424,Telecommunications Trades Workers
3613,Veterinary Nurses
3941,Cabinetmakers
3942,Wood Machinists and Other Wood Trades Workers
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators"
4117,Welfare Support Workers