Subclass 190 Tasmanian Skilled Employment (TSE) Priority Roles,,
Applicants must have a valid skills assessment for an occupation listed in the “TSE Priority Occupations - eligible skills assessments” column to be eligible for the Tasmanian Skilled Employment Pathway under subclass 190.,,
,,
Applicants must also be working in a closely related role - one that falls in to the same ANZSCO 3-digit group. Examples of roles in the same group are listed in the second column.,,
,,
"For example, if someone has a skills assessment for Management Consultant but are employed as an Economist they may be eligible for subclass 190 nomination in the Tasmanian Skilled Employment Pathway.",,
,,
"TSE Priority Occupations - eligible skills assessments
Must have a skills assessment for one of these occupations","Examples of related roles
Not all occupations in the 3-digit ANZSCO group have been listed",Notes and caveats
"121311 Apiarist
121321 Poultry Farmer","121 Farmers and Farm Managers
121311 Apiarist
121321 Poultry Farmer
121322 Sheep Farmer
121399 Livestock Farmers nec",
"131112 Sales and Marketing Manager
131113 Advertising Manager","131 Advertising, Public Relations and Sales Managers
131112 Sales and Marketing Manager
131113 Advertising Manager
131114 Public Relations Manager",Employer must have operated in Tasmania for at least three years.
"132111 Corporate Services Managers
132211 Finance Managers
132311 Human Resource Managers
132511 Research and Development Managers","132 Business Administration Managers
132111 Corporate Services Managers
132211 Finance Managers
132311 Human Resource Managers
132411 Policy and Planning Managers
132511 Research and Development Managers",
"133111 Construction Project Manager
133211 Engineering Manager","133 Construction, Distribution and Production Managers
133111 Construction Project Manager
133112 Project Builder
133211 Engineering Manager
133511 Production Manager (Forestry)
133512 Production Manager (Manufacturing)
133513 Production Manager (Mining)
133611 Supply and Distribution Manager
133612 Procurement Manager",
"134212 Nursing Clinical Director
134213 Primary Health Organisation Manager
134214 Welfare Centre Manager
134299 Health and Welfare Services Managers nec
134311 School Principal","134 Education, Health and Welfare Services Managers
134111 Child Care Centre Manager
134211 Medical Administrator / Medical Superintendent
134212 Nursing Clinical Director
134213 Primary Health Organisation Manager
134214 Welfare Centre Manager
134299 Health and Welfare Services Managers nec
134411 Faculty Head
134412 Regional Education Manager
134499 Education Managers nec",
"135112 ICT Project Manager
135199 ICT Managers nec","135 ICT Managers
135111 Chief Information Officer
135112 ICT Project Manager
135199 ICT Managers nec",
"139911 Arts Administrator or Manager
139912 Environmental Manager
139913 Laboratory Manager
139914 Quality Assurance Manager
139999 Specialist Managers nec","139 Miscellaneous Specialist Managers
139911 Arts Administrator or Manager
139912 Environmental Manager
139913 Laboratory Manager
139915 Sports Administrator
139916 Quality Assurance Manager
139917 Regulatory Affairs Manager
139999 Specialist Managers nec",
"141111 Cafe or Restaurant Manager
141311 Hotel or Motel Manager","141 Accommodation and Hospitality Managers
141111 Cafe or Restaurant Manager
141211 Caravan Park and Camping Ground Manager
141311 Hotel or Motel Manager
141411 Licensed Club Manager
141911 Bed and Breakfast Operator
141912 Retirement Village Manager
141999 Accommodation and Hospitality Managers nec",
149913 Facilities Manager,"149 Miscellaneous Hospitality, Retail and Service Managers
149111 Amusement Centre Manager
149112 Fitness Centre Manager
149113 Sports Centre Manager
149211 Call or Contact Centre Manager
149212 Customer Service Manager
149311 Conference and Event Organiser
149411 Fleet Manager
149413 Transport Company Manager
149911 Boarding Kennel or Cattery Operator
149912 Cinema or Theatre Manager
149913 Facilities Manager
149914 Financial Institution Branch Manager
149915 Equipment Hire Manager
149999 Hospitality, Retail and Service Managers nec",
"221111 Accountant (General)
221112 Management Accountant
221113 Taxation Accountant
221213 External Auditor
221214 Internal Auditor
221211 Company Secretary","221 Accountants, Auditors and Company Secretaries
221111 Accountant (General)
221112 Management Accountant
221113 Taxation Accountant
221211 Company Secretary
221212 Corporate Treasurer
221213 External Auditor
221214 Internal Auditor",TSE Priority Occupation Option -- Must have full membership of either CPA/CA/IPA/ACCA/CFA/CIMA.
223112 Recruitment Consultant,"223 Human Resource and Training Professionals
223111 Human Resource Adviser
223112 Recruitment Consultant
223113 Workplace Relations Adviser
223311 Training and Development Professional",
"224712 Organisation and Methods Analyst
224713 Management Consultant
224914 Patents Examiner
224999 Information and Organisation Professionals nec","224 Information and Organisation Professionals
224111 Actuary
224112 Mathematician
224114 Data Analyst
224115 Data Scientist
224116 Statistician
224211 Archivist
224212 Gallery or Museum Curator
224213 Health Information Manager
224214 Records Manager
224311 Economist
224411 Intelligence Officer
224412 Policy Analyst
224511 Land Economist
224512 Valuer
224611 Librarian
224712 Organisation and Methods Analyst
224713 Management Consultant
224714 Supply Chain Analyst
224912 Liaison Officer
224914 Patents Examiner
224999 Information and Organisation Professionals nec",
"225111 Advertising Specialist
225113 Marketing Specialist
225311 Public Relations Professional
225499 Technical Sales Representatives nec","225 Sales, Marketing and Public Relations Professionals
225111 Advertising Specialist
225112 Market Research Analyst
225113 Marketing Specialist
225114 Content Creator (Marketing)
225115 Digital Marketing Analyst
225211 ICT Account Manager
225212 ICT Business Development Manager
225213 ICT Sales Representative
225311 Public Relations Professional
225411 Sales Representative (Industrial Products)
225412 Sales Representative (Medical and Pharmaceutical Products)
225499 Technical Sales Representatives nec",Employer must have operated in Tasmania for at least three years.
"232111 Architect
232112 Landscape Architect
232212 Surveyor
232213 Cartographer
232214 Other Spatial Scientist
232411 Graphic Designer
232412 Illustrator
232414 Web Designer","232 Architects, Designers, Planners and Surveyors
232111 Architect
232112 Landscape Architect
232212 Surveyor
232213 Cartographer
232214 Other Spatial Scientist
232311 Fashion Designer
232312 Industrial Designer
232313 Jewellery Designer
232411 Graphic Designer
232412 Illustrator
232413 Multimedia Designer
232414 Web Designer
232511 Interior Designer
232611 Urban and Regional Planner",
"233211 Civil Engineer
233212 Geotechnical Engineer
233213 Quantity Surveyor
233214 Structural Engineer
233215 Transport Engineer
233311 Electrical Engineer
233511 Industrial Engineer
233512 Mechanical Engineer
233513 Production or Plant Engineer","233 Engineering Professionals
233111 Chemical Engineer
233112 Materials Engineer
233211 Civil Engineer
233212 Geotechnical Engineer
233213 Quantity Surveyor
233214 Structural Engineer
233215 Transport Engineer
233311 Electrical Engineer
233411 Electronics Engineer
233511 Industrial Engineer
233512 Mechanical Engineer
233513 Production or Plant Engineer
233611 Mining Engineer (excluding Petroleum)
233612 Petroleum Engineer
233911 Aeronautical Engineer
233912 Agricultural Engineer
233913 Biomedical Engineer
233914 Engineering Technologist
233915 Environmental Engineer
233916 Naval Architect / Marine Designer
233999 Engineering Professionals nec",
"234111 Agricultural Consultant
234112 Agricultural Scientist
234113 Forester / Forest Scientist
234211 Chemist
234212 Food Technologist
234312 Environmental Consultant
234313 Environmental Research Scientist
234399 Environmental Scientists nec
234411 Geologist
234412 Geophysicist
234413 Hydrogeologist
234711 Veterinarian","234 Natural and Physical Science Professionals
234111 Agricultural Consultant
234112 Agricultural Scientist
234113 Forester / Forest Scientist
234114 Agricultural Research Scientist
234115 Agronomist
234116 Aquaculture or Fisheries Scientist
234211 Chemist
234212 Food Technologist
234213 Wine Maker
234311 Conservation Officer
234312 Environmental Consultant
234313 Environmental Research Scientist
234314 Park Ranger
234399 Environmental Scientists nec
234411 Geologist
234412 Geophysicist
234413 Hydrogeologist
234511 Life Scientist (General)
234513 Biochemist
234514 Biotechnologist
234515 Botanist
234516 Marine Biologist
234517 Microbiologist
234521 Entomologist
234522 Zoologist
234599 Life Scientists nec
234611 Medical Laboratory Scientist
234612 Respiratory Scientist
234711 Veterinarian
234911 Conservator
234912 Metallurgist
234913 Meteorologist
234914 Physicist
234915 Exercise Physiologist
234999 Natural and Physical Science Professionals nec",
"241111 Early Childhood (Pre-primary School) Teacher
241213 Primary School Teacher
241311 Middle School Teacher / Intermediate School Teacher
241411 Secondary School Teacher
241511 Special Needs Teacher
241512 Teacher of the Hearing Impaired
241513 Teacher of the Sight Impaired
241599 Special Education Teachers nec","241 School Teachers
241111 Early Childhood (Pre-primary School) Teacher
241213 Primary School Teacher
241311 Middle School Teacher / Intermediate School Teacher
241411 Secondary School Teacher
241511 Special Needs Teacher
241512 Teacher of the Hearing Impaired
241513 Teacher of the Sight Impaired
241599 Special Education Teachers nec",
"251111 Dietitian
251112 Nutritionist
251211 Medical Diagnostic Radiographer
251212 Medical Radiation Therapist
251213 Nuclear Medicine Technologist
251214 Sonographer
251312 Occupational Health and Safety Adviser
251411 Optometrist
251412 Orthoptist
251511 Hospital Pharmacist
251512 Industrial Pharmacist
251513 Retail Pharmacist
251911 Health Promotion Officer
251912 Orthotist or Prosthetist
251999 Health Diagnostic and Promotion Professionals nec","251 Health Diagnostic and Promotion Professionals
251111 Dietitian
251112 Nutritionist
251211 Medical Diagnostic Radiographer
251212 Medical Radiation Therapist
251213 Nuclear Medicine Technologist
251214 Sonographer
251311 Environmental Health Officer
251312 Occupational Health and Safety Adviser
251411 Optometrist
251412 Orthoptist
251511 Hospital Pharmacist
251512 Industrial Pharmacist
251513 Retail Pharmacist
251911 Health Promotion Officer
251912 Orthotist or Prosthetist
251999 Health Diagnostic and Promotion Professionals nec",
"252311 Dental Specialist
252411 Occupational Therapist
252511 Physiotherapist
252611 Podiatrist
252711 Audiologist
252712 Speech Pathologist / Speech Language Therapist","252 Health Therapy Professionals
252311 Dental Specialist
252312 Dentist
252411 Occupational Therapist
252511 Physiotherapist
252611 Podiatrist
252711 Audiologist
252712 Speech Pathologist / Speech Language Therapist",
"253111 General Practitioner
253112 Resident Medical Officer
253311 Specialist Physician (General Medicine)
253312 Cardiologist
253313 Clinical Haematologist
253314 Medical Oncologist
253315 Endocrinologist
253316 Gastroenterologist
253317 Intensive Care Specialist
253318 Neurologist
253321 Paediatrician
253322 Renal Medicine Specialist
253323 Rheumatologist
253324 Thoracic Medicine Specialist
253399 Specialist Physicians nec
253411 Psychiatrist
253511 Surgeon (General)
253512 Cardiothoracic Surgeon
253513 Neurosurgeon
253514 Orthopaedic Surgeon
253515 Otorhinolaryngologist
253516 Paediatric Surgeon
253517 Plastic and Reconstructive Surgeon
253518 Urologist
253521 Vascular Surgeon
253911 Dermatologist
253912 Emergency Medicine Specialist
253913 Obstetrician and Gynaecologist
253914 Ophthalmologist
253915 Pathologist
253917 Diagnostic and Interventional Radiologist
253918 Radiation Oncologist
253999 Medical Practitioners nec","253 Medical Practitioners
253111 General Practitioner
253112 Resident Medical Officer
253211 Anaesthetist
253311 Specialist Physician (General Medicine)
253312 Cardiologist
253313 Clinical Haematologist
253314 Medical Oncologist
253315 Endocrinologist
253316 Gastroenterologist
253317 Intensive Care Specialist
253318 Neurologist
253321 Paediatrician
253322 Renal Medicine Specialist
253323 Rheumatologist
253324 Thoracic Medicine Specialist
253399 Specialist Physicians nec
253411 Psychiatrist
253511 Surgeon (General)
253512 Cardiothoracic Surgeon
253513 Neurosurgeon
253514 Orthopaedic Surgeon
253515 Otorhinolaryngologist
253516 Paediatric Surgeon
253517 Plastic and Reconstructive Surgeon
253518 Urologist
253521 Vascular Surgeon
253911 Dermatologist
253912 Emergency Medicine Specialist
253913 Obstetrician and Gynaecologist
253914 Ophthalmologist
253915 Pathologist
253917 Diagnostic and Interventional Radiologist
253918 Radiation Oncologist
253999 Medical Practitioners nec",
"254111 Midwife
254211 Nurse Educator
254212 Nurse Researcher
254311 Nurse Manager
254411 Nurse Practitioner
254412 Registered Nurse (Aged Care)
254413 Registered Nurse (Child and Family Health)
254414 Registered Nurse (Community Health)
254415 Registered Nurse (Critical Care and Emergency)
254416 Registered Nurse (Developmental Disability)
254417 Registered Nurse (Disability and Rehabilitation)
254418 Registered Nurse (Medical)
254421 Registered Nurse (Medical Practice)
254422 Registered Nurse (Mental Health)
254423 Registered Nurse (Perioperative)
254424 Registered Nurse (Surgical)
254425 Registered Nurse (Paediatrics)
254499 Registered Nurses nec","254 Midwifery and Nursing Professionals
254111 Midwife
254211 Nurse Educator
254212 Nurse Researcher
254311 Nurse Manager
254411 Nurse Practitioner
254412 Registered Nurse (Aged Care)
254413 Registered Nurse (Child and Family Health)
254414 Registered Nurse (Community Health)
254415 Registered Nurse (Critical Care and Emergency)
254416 Registered Nurse (Developmental Disability)
254417 Registered Nurse (Disability and Rehabilitation)
254418 Registered Nurse (Medical)
254421 Registered Nurse (Medical Practice)
254422 Registered Nurse (Mental Health)
254423 Registered Nurse (Perioperative)
254424 Registered Nurse (Surgical)
254425 Registered Nurse (Paediatrics)
254499 Registered Nurses nec",
"261311 Analyst Programmer
261312 Developer Programmer
261313 Software Engineer
261314 Software Tester
261399 Software and Applications Programmers nec","261 Business and Systems Analysts, and Programmers
261111 ICT Business Analyst
261112 Systems Analyst
261113 User Experience Designer (ICT)
261211 Multimedia Specialist
261212 Web Developer
261311 Analyst Programmer
261312 Developer Programmer
261313 Software Engineer
261314 Software Tester
261315 Cyber Security Engineer
261316 DevOps Engineer
261317 Penetration Tester
261399 Software and Applications Programmers nec",Employer must have operated in Tasmania for at least three years.
"262111 Database Administrator
262113 Systems Administrator","262 Database and Systems Administrators, and ICT Security Specialists
262111 Database Administrator
262113 Systems Administrator
262114 Cyber Governance Risk and Compliance Specialist
262115 Cyber Security Advice and Assessment Specialist
262116 Cyber Security Analyst
262117 Cyber Security Architect
262118 Cyber Security Operations Coordinator",Employer must have operated in Tasmania for at least three years.
"263111 Computer Network and Systems Engineer
263112 Network Administrator
263113 Network Analyst","263 ICT Network and Support Professionals
263111 Computer Network and Systems Engineer
263112 Network Administrator
263113 Network Analyst
263211 ICT Quality Assurance Engineer
263212 ICT Support Engineer
263213 ICT Systems Test Engineer
263299 ICT Support and Test Engineers nec
263311 Telecommunications Engineer
263312 Telecommunications Network Engineer",Employer must have operated in Tasmania for at least three years.
271311 Solicitor,"271 Legal Professionals
271111 Barrister
271214 Intellectual Property Lawyer
271299 Judicial and Other Legal Professionals nec
271311 Solicitor",
"272311 Clinical Psychologist
272312 Educational Psychologist
272313 Organisational Psychologist
272314 Psychotherapist
272399 Psychologists nec
272511 Social Worker
272612 Recreation Officer / Recreation Coordinator
272613 Welfare Worker","272 Social and Welfare Professionals
272111 Careers Counsellor
272112 Drug and Alcohol Counsellor
272114 Rehabilitation Counsellor
272115 Student Counsellor
272199 Counsellors nec
272311 Clinical Psychologist
272312 Educational Psychologist
272313 Organisational Psychologist
272314 Psychotherapist
272399 Psychologists nec
272411 Historian
272412 Interpreter
272413 Translator
272499 Social Professionals nec
272511 Social Worker
272613 Welfare Worker",
"311211 Anaesthetic Technician
311212 Cardiac Technician
311213 Medical Laboratory Technician
311215 Pharmacy Technician
311299 Medical Technicians nec
311411 Chemistry Technician
311412 Earth Science Technician
311413 Life Science Technician
311499 Science Technicians nec","311 Agricultural, Medical and Science Technicians
311112 Agricultural and Agritech Technician
311113 Animal Husbandry Technician
311115 Irrigation Designer
311211 Anaesthetic Technician
311212 Cardiac Technician
311213 Medical Laboratory Technician
311214 Operating Theatre Technician
311215 Pharmacy Technician
311216 Pathology Collector / Phlebotomist
311217 Respiratory Technician
311299 Medical Technicians nec
311311 Fisheries Officer
311312 Meat Inspector
311313 Biosecurity Officer
311314 Primary Products Quality Assurance Officer
311399 Primary Products Assurance and Inspection Officers nec
311411 Chemistry Technician
311412 Earth Science Technician
311413 Life Science Technician
311414 School Laboratory Technician
311415 Hydrographer
311499 Science Technicians nec
311411 Chemistry Technician
311412 Earth Science Technician
311413 Life Science Technician
311414 School Laboratory Technician
311415 Hydrographer
311499 Science Technicians nec",
"312111 Architectural Draftsperson
312113 Building Inspector
312199 Architectural, Building and Surveying Technicians nec","312 Building and Engineering Technicians
312111 Architectural Draftsperson
312112 Building Associate
312113 Building Inspector
312114 Construction Estimator
312115 Plumbing Inspector
312116 Surveying or Spatial Science Technician
312199 Architectural, Building and Surveying Technicians nec
312211 Civil Engineering Draftsperson
312212 Civil Engineering Technician
312311 Electrical Engineering Draftsperson
312312 Electrical Engineering Technician
312411 Electronic Engineering Draftsperson
312412 Electronic Engineering Technician
312511 Mechanical Engineering Draftsperson
312512 Mechanical Engineering Technician
312611 Safety Inspector
312911 Maintenance Planner
312912 Metallurgical or Materials Technician
312913 Mine Deputy
312914 Other Draftsperson
312999 Building and Engineering Technicians nec",
"313111 Hardware Technician
313112 ICT Customer Support Officer
313113 Web Administrator
313199 ICT Support Technicians nec","313 ICT and Telecommunications Technicians
313111 Hardware Technician
313112 ICT Customer Support Officer
313113 Web Administrator
313199 ICT Support Technicians nec
313211 Radiocommunications Technician
313212 Telecommunications Field Engineer
313213 Telecommunications Network Planner
313214 Telecommunications Technical Officer or Technologist",
"321211 Motor Mechanic (General)
321212 Diesel Motor Mechanic
321213 Motorcycle Mechanic
321214 Small Engine Mechanic","321 Automotive Electricians and Mechanics
321111 Automotive Electrician
321211 Motor Mechanic (General)
321212 Diesel Motor Mechanic
321213 Motorcycle Mechanic
321214 Small Engine Mechanic",Employer must have operated in Tasmania for at least three years.
"323211 Fitter (General)
323212 Fitter and Turner
323213 Fitter-Welder
323214 Metal Machinist (First Class)
323299 Metal Fitters and Machinists nec","323 Mechanical Engineering Trades Workers
323111 Aircraft Maintenance Engineer (Avionics)
323112 Aircraft Maintenance Engineer (Mechanical)
323113 Aircraft Maintenance Engineer (Structures)
323211 Fitter (General)
323212 Fitter and Turner
323213 Fitter-Welder
323214 Metal Machinist (First Class)
323215 Textile, Clothing and Footwear Mechanic
323299 Metal Fitters and Machinists nec
323311 Engraver
323312 Gunsmith
323313 Locksmith
323314 Precision Instrument Maker and Repairer
323315 Saw Doctor
323316 Watch and Clock Maker and Repairer
323411 Engineering Patternmaker
323412 Toolmaker",
"331211 Carpenter and Joiner
331212 Carpenter
331213 Joiner","331 Bricklayers, and Carpenters and Joiners
331111 Bricklayer
331112 Stonemason
331211 Carpenter and Joiner
331212 Carpenter
331213 Joiner",
332211 Painter,"332 Floor Finishers and Painters
332111 Floor Finisher
332211 Painter",Must have worked in role for at least 12 months if employer has not operated in Tasmania for at least three years.
"334111 Plumber (General)
334112 Airconditioning and Mechanical Services Plumber
334113 Drainer / Drainlayer
334114 Gasfitter
334115 Roof Plumber","334 Plumbers
334111 Plumber (General)
334112 Airconditioning and Mechanical Services Plumber
334113 Drainer / Drainlayer
334114 Gasfitter
334115 Roof Plumber",
"341111 Electrician (General)
341112 Electrician (Special Class)
341113 Lift Mechanic","341 Electricians
341111 Electrician (General)
341112 Electrician (Special Class)
341113 Lift Mechanic",
"342311 Business Machine Mechanic
342313 Electronic Equipment Trades Worker
342314 Electronic Instrument Trades Worker (General)
342315 Electronic Instrument Trades Worker (Special Class)","342 Telecommunications Trades Workers
342111 Airconditioning and Refrigeration Mechanic
342211 Electrical Linesworker / Electrical Line Mechanic
342212 Technical Cable Jointer
342311 Business Machine Mechanic
342312 Communications Operator
342313 Electronic Equipment Trades Worker
342314 Electronic Instrument Trades Worker (General)
342315 Electronic Instrument Trades Worker (Special Class)
342411 Cabler (Data and Telecommunications)
342412 Telecommunications Cable Jointer
342413 Telecommunications Linesworker / Telecommunications Line Mechanic
342414 Telecommunications Technician",
"351111 Baker
351112 Pastrycook
351211 Butcher or Smallgoods Maker
351311 Chef
351411 Cook","351 Foods Trades Workers
351111 Baker
351112 Pastrycook
351211 Butcher or Smallgoods Maker
351311 Chef
351411 Cook",
"362211 Gardener (General)
362212 Arborist
362213 Landscape Gardener
362311 Greenkeeper","362 Horticultural Trades Workers
362111 Florist
362211 Gardener (General) (362611)
362311 Greenkeeper
362212 Arborist (362511)
362213 Landscape Gardener (362711)
362312 Sports Turf Manager
362313 Sports Turf Trades Worker
362411 Nurseryperson
362512 Tree Worker
362712 Irrigation Technician",362211 Gardener (General) skills assessment is accepted for this occupation.
391111 Hairdresser,"391 Hairdressers
391111 Hairdresser",
"411111 Ambulance Officer
411112 Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)
411213 Dental Technician
411411 Enrolled Nurse
411711 Community Worker
411712 Disabilities Services Officer
411713 Family Support Worker
411715 Residential Care Officer
411716 Youth Worker","411 Health and Welfare Support Workers
411111 Ambulance Officer
411112 Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)
411211 Dental Hygienist
411212 Dental Prosthetist
411213 Dental Technician
411214 Dental Therapist
411311 Diversional Therapist
411411 Enrolled Nurse
411711 Community Worker
411712 Disabilities Services Officer
411713 Family Support Worker
411714 Parole or Probation Officer
411715 Residential Care Officer
411716 Youth Worker",
"511111 Contract Administrator
511112 Program or Project Administrator","511 Contract, Program and Project Administrators
511111 Contract Administrator
511112 Program or Project Administrator",
"511111 Contract Administrator
511112 Program or Project Administrator","511 Contract, Program and Project Administrators
511111 Contract Administrator
511112 Program or Project Administrator",